Name,Url,PFS Legality,Rarity,Traits,Category,Subcategory,Level,Price,Bulk,Spoilers?
Alchemical Bomb,https://2e.aonprd.com/Weapons.aspx?ID=73,,Common,—,Weapons,Base Weapons,—,—,L,—
Fist,https://2e.aonprd.com/Weapons.aspx?ID=1,,Common,"Agile, Finesse, Nonlethal, Unarmed",Weapons,Base Weapons,—,—,—,—
Holly and Mistletoe,https://2e.aonprd.com/Equipment.aspx?ID=26,,Common,—,Adventuring Gear,—,—,—,—,—
Shield Bash,https://2e.aonprd.com/Weapons.aspx?ID=40,,Common,—,Weapons,Base Weapons,—,—,—,—
Unarmored,https://2e.aonprd.com/Armor.aspx?ID=1,,Common,—,Armor,Base Armor,—,—,—,—
Club,https://2e.aonprd.com/Weapons.aspx?ID=2,,Common,Thrown,Weapons,Base Weapons,—,—,1,—
Exquisite Sword Cane Sheath,https://2e.aonprd.com/Weapons.aspx?ID=133,—,Common,"Agile, Finesse, Parry, Twin",Weapons,Base Weapons,—,—,L,Agents of Edgewatch
Sling,https://2e.aonprd.com/Weapons.aspx?ID=72,,Common,Propulsive,Weapons,Base Weapons,—,—,L,—
Staff,https://2e.aonprd.com/Weapons.aspx?ID=12,,Common,Two-Hand,Weapons,Base Weapons,—,—,1,—
Alcohol,https://2e.aonprd.com/Equipment.aspx?ID=622,—,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,—,1 cp,L,—
Candle,https://2e.aonprd.com/Equipment.aspx?ID=10,,Common,—,Adventuring Gear,—,—,1 cp,—,—
Chalk,https://2e.aonprd.com/Equipment.aspx?ID=12,,Common,—,Adventuring Gear,—,—,1 cp,—,—
Dart,https://2e.aonprd.com/Weapons.aspx?ID=68,,Common,"Agile, Thrown",Weapons,Base Weapons,—,1 cp,L,—
Earplugs,https://2e.aonprd.com/Equipment.aspx?ID=867,,Common,—,Adventuring Gear,—,—,1 cp,—,—
Mug,https://2e.aonprd.com/Equipment.aspx?ID=36,,Common,—,Adventuring Gear,—,—,1 cp,—,—
Oil,https://2e.aonprd.com/Equipment.aspx?ID=38,,Common,—,Adventuring Gear,—,—,1 cp,—,—
Piton,https://2e.aonprd.com/Equipment.aspx?ID=39,,Common,—,Adventuring Gear,—,—,1 cp,—,—
Sack,https://2e.aonprd.com/Equipment.aspx?ID=45,,Common,—,Adventuring Gear,—,—,1 cp,L,—
Shuriken,https://2e.aonprd.com/Weapons.aspx?ID=79,,Uncommon,"Agile, Monk, Thrown",Weapons,Base Weapons,—,1 cp,—,—
Sling Bullets,https://2e.aonprd.com/Weapons.aspx?ID=82,,Common,—,Weapons,Base Weapons,—,1 cp,L,—
Ten-Foot Pole,https://2e.aonprd.com/Equipment.aspx?ID=56,,Common,—,Adventuring Gear,—,—,1 cp,1,—
Torch,https://2e.aonprd.com/Equipment.aspx?ID=60,,Common,—,Adventuring Gear,—,—,1 cp,L,—
Bedroll,https://2e.aonprd.com/Equipment.aspx?ID=7,,Common,—,Adventuring Gear,—,—,2 cp,L,—
Soap,https://2e.aonprd.com/Equipment.aspx?ID=52,,Common,—,Adventuring Gear,—,—,2 cp,—,—
Ladder,https://2e.aonprd.com/Equipment.aspx?ID=28,,Common,—,Adventuring Gear,—,—,3 cp,3,—
Blowgun Darts,https://2e.aonprd.com/Weapons.aspx?ID=80,,Common,—,Weapons,Base Weapons,—,5 cp,L,—
Flint and Steel,https://2e.aonprd.com/Equipment.aspx?ID=21,,Common,—,Adventuring Gear,—,—,5 cp,—,—
Waterskin,https://2e.aonprd.com/Equipment.aspx?ID=62,,Common,—,Adventuring Gear,—,—,5 cp,L,—
Signal Whistle,https://2e.aonprd.com/Equipment.aspx?ID=50,,Common,—,Adventuring Gear,—,—,8 cp,—,—
Arrows,https://2e.aonprd.com/Weapons.aspx?ID=83,,Common,—,Weapons,Base Weapons,—,1 sp,L,—
Backpack,https://2e.aonprd.com/Equipment.aspx?ID=4,,Common,—,Adventuring Gear,—,—,1 sp,—,—
Basic Crafter's Book,https://2e.aonprd.com/Equipment.aspx?ID=6,,Common,—,Adventuring Gear,—,—,1 sp,L,—
Blowgun,https://2e.aonprd.com/Weapons.aspx?ID=66,,Common,"Agile, Nonlethal",Weapons,Base Weapons,—,1 sp,L,—
Bolts,https://2e.aonprd.com/Weapons.aspx?ID=81,,Common,—,Weapons,Base Weapons,—,1 sp,L,—
Clothing (Explorer's),https://2e.aonprd.com/Equipment.aspx?ID=15,,Common,—,Adventuring Gear,—,—,1 sp,L,—
Clothing (Ordinary),https://2e.aonprd.com/Equipment.aspx?ID=15,,Common,—,Adventuring Gear,—,—,1 sp,—,—
Disguise Kit (Replacement Cosmetics),https://2e.aonprd.com/Equipment.aspx?ID=19,,Common,—,Adventuring Gear,—,—,1 sp,L,—
Dogslicer,https://2e.aonprd.com/Weapons.aspx?ID=49,,Uncommon,"Agile, Backstabber, Finesse, Goblin",Weapons,Base Weapons,—,1 sp,L,—
Explorer's Clothing,https://2e.aonprd.com/Armor.aspx?ID=2,,Common,Comfort,Armor,Base Armor,—,1 sp,L,—
Grappling Hook,https://2e.aonprd.com/Equipment.aspx?ID=23,,Common,—,Adventuring Gear,—,—,1 sp,L,—
Hammer,https://2e.aonprd.com/Equipment.aspx?ID=24,,Common,—,Adventuring Gear,—,—,1 sp,L,—
Javelin,https://2e.aonprd.com/Weapons.aspx?ID=71,,Common,Thrown,Weapons,Base Weapons,—,1 sp,L,—
Juggling Club,https://2e.aonprd.com/Weapons.aspx?ID=111,—,Uncommon,"Agile, Nonlethal, Thrown",Weapons,Base Weapons,—,1 sp,L,Extinction Curse
Monkey's Fist,https://2e.aonprd.com/Weapons.aspx?ID=130,—,Common,"Finesse, Monk, Nonlethal",Weapons,Base Weapons,—,1 sp,—,Agents of Edgewatch
Religious Symbol (Wooden),https://2e.aonprd.com/Equipment.aspx?ID=41,,Common,—,Adventuring Gear,—,—,1 sp,L,—
Sap,https://2e.aonprd.com/Weapons.aspx?ID=37,,Common,"Agile, Nonlethal",Weapons,Base Weapons,—,1 sp,L,—
Scourge,https://2e.aonprd.com/Weapons.aspx?ID=89,,Common,"Agile, Disarm, Finesse, Nonlethal, Sweep",Weapons,Base Weapons,—,1 sp,1,—
Shield Sconce,https://2e.aonprd.com/Equipment.aspx?ID=875,,Uncommon,—,Adventuring Gear,—,—,1 sp,—,—
Spear,https://2e.aonprd.com/Weapons.aspx?ID=10,,Common,Thrown,Weapons,Base Weapons,—,1 sp,1,—
Whip,https://2e.aonprd.com/Weapons.aspx?ID=48,,Common,"Disarm, Finesse, Nonlethal, Reach, Trip",Weapons,Base Weapons,—,1 sp,1,—
Writing Set (Extra Ink and Paper),https://2e.aonprd.com/Equipment.aspx?ID=63,,Common,—,Adventuring Gear,—,—,1 sp,L,—
Bo Staff,https://2e.aonprd.com/Weapons.aspx?ID=17,,Common,"Monk, Parry, Reach, Trip",Weapons,Base Weapons,—,2 sp,2,—
Dagger,https://2e.aonprd.com/Weapons.aspx?ID=3,,Common,"Agile, Finesse, Thrown, Versatile",Weapons,Base Weapons,—,2 sp,L,—
Gauntlet,https://2e.aonprd.com/Weapons.aspx?ID=4,,Common,"Agile, Free-Hand",Weapons,Base Weapons,—,2 sp,L,—
Grappling Arrow,https://2e.aonprd.com/Equipment.aspx?ID=871,,Uncommon,—,Adventuring Gear,—,—,2 sp,L,—
Grappling Bolt,https://2e.aonprd.com/Equipment.aspx?ID=872,,Uncommon,—,Adventuring Gear,—,—,2 sp,L,—
Lock (Poor),https://2e.aonprd.com/Equipment.aspx?ID=30,,Common,—,Adventuring Gear,—,—,2 sp,—,—
Merchant's Scale,https://2e.aonprd.com/Equipment.aspx?ID=34,,Common,—,Adventuring Gear,—,—,2 sp,L,—
