Name,Url,PFS Legality,Rarity,Traits,Category,Subcategory,Level,Price,Bulk,Spoilers?
Alchemical Bomb,https://2e.aonprd.com/Weapons.aspx?ID=73,,Common,—,Weapons,Base Weapons,0,0,L,—
Fist,https://2e.aonprd.com/Weapons.aspx?ID=1,,Common,"Agile, Finesse, Nonlethal, Unarmed",Weapons,Base Weapons,0,0,—,—
Holly and Mistletoe,https://2e.aonprd.com/Equipment.aspx?ID=26,,Common,—,Adventuring Gear,—,0,0,—,—
Shield Bash,https://2e.aonprd.com/Weapons.aspx?ID=40,,Common,—,Weapons,Base Weapons,0,0,—,—
Unarmored,https://2e.aonprd.com/Armor.aspx?ID=1,,Common,—,Armor,Base Armor,0,0,—,—
Club,https://2e.aonprd.com/Weapons.aspx?ID=2,,Common,Thrown,Weapons,Base Weapons,0,0,1,—
Exquisite Sword Cane Sheath,https://2e.aonprd.com/Weapons.aspx?ID=133,—,Common,"Agile, Finesse, Parry, Twin",Weapons,Base Weapons,0,0,L,Agents of Edgewatch
Sling,https://2e.aonprd.com/Weapons.aspx?ID=72,,Common,Propulsive,Weapons,Base Weapons,0,0,L,—
Staff,https://2e.aonprd.com/Weapons.aspx?ID=12,,Common,Two-Hand,Weapons,Base Weapons,0,0,1,—
Alcohol,https://2e.aonprd.com/Equipment.aspx?ID=622,—,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,0.01,L,—
Candle,https://2e.aonprd.com/Equipment.aspx?ID=10,,Common,—,Adventuring Gear,—,0,0.01,—,—
Chalk,https://2e.aonprd.com/Equipment.aspx?ID=12,,Common,—,Adventuring Gear,—,0,0.01,—,—
Dart,https://2e.aonprd.com/Weapons.aspx?ID=68,,Common,"Agile, Thrown",Weapons,Base Weapons,0,0.01,L,—
Earplugs,https://2e.aonprd.com/Equipment.aspx?ID=867,,Common,—,Adventuring Gear,—,0,0.01,—,—
Mug,https://2e.aonprd.com/Equipment.aspx?ID=36,,Common,—,Adventuring Gear,—,0,0.01,—,—
Oil,https://2e.aonprd.com/Equipment.aspx?ID=38,,Common,—,Adventuring Gear,—,0,0.01,—,—
Piton,https://2e.aonprd.com/Equipment.aspx?ID=39,,Common,—,Adventuring Gear,—,0,0.01,—,—
Sack,https://2e.aonprd.com/Equipment.aspx?ID=45,,Common,—,Adventuring Gear,—,0,0.01,L,—
Shuriken,https://2e.aonprd.com/Weapons.aspx?ID=79,,Uncommon,"Agile, Monk, Thrown",Weapons,Base Weapons,0,0.01,—,—
Sling Bullets,https://2e.aonprd.com/Weapons.aspx?ID=82,,Common,—,Weapons,Base Weapons,0,0.01,L,—
Ten-Foot Pole,https://2e.aonprd.com/Equipment.aspx?ID=56,,Common,—,Adventuring Gear,—,0,0.01,1,—
Torch,https://2e.aonprd.com/Equipment.aspx?ID=60,,Common,—,Adventuring Gear,—,0,0.01,L,—
Bedroll,https://2e.aonprd.com/Equipment.aspx?ID=7,,Common,—,Adventuring Gear,—,0,0.02,L,—
Soap,https://2e.aonprd.com/Equipment.aspx?ID=52,,Common,—,Adventuring Gear,—,0,0.02,—,—
Ladder,https://2e.aonprd.com/Equipment.aspx?ID=28,,Common,—,Adventuring Gear,—,0,0.03,3,—
Blowgun Darts,https://2e.aonprd.com/Weapons.aspx?ID=80,,Common,—,Weapons,Base Weapons,0,0.05,L,—
Flint and Steel,https://2e.aonprd.com/Equipment.aspx?ID=21,,Common,—,Adventuring Gear,—,0,0.05,—,—
Waterskin,https://2e.aonprd.com/Equipment.aspx?ID=62,,Common,—,Adventuring Gear,—,0,0.05,L,—
Signal Whistle,https://2e.aonprd.com/Equipment.aspx?ID=50,,Common,—,Adventuring Gear,—,0,0.08,—,—
Arrows,https://2e.aonprd.com/Weapons.aspx?ID=83,,Common,—,Weapons,Base Weapons,0,0.1,L,—
Backpack,https://2e.aonprd.com/Equipment.aspx?ID=4,,Common,—,Adventuring Gear,—,0,0.1,—,—
Basic Crafter's Book,https://2e.aonprd.com/Equipment.aspx?ID=6,,Common,—,Adventuring Gear,—,0,0.1,L,—
Blowgun,https://2e.aonprd.com/Weapons.aspx?ID=66,,Common,"Agile, Nonlethal",Weapons,Base Weapons,0,0.1,L,—
Bolts,https://2e.aonprd.com/Weapons.aspx?ID=81,,Common,—,Weapons,Base Weapons,0,0.1,L,—
Clothing (Explorer's),https://2e.aonprd.com/Equipment.aspx?ID=15,,Common,—,Adventuring Gear,—,0,0.1,L,—
Clothing (Ordinary),https://2e.aonprd.com/Equipment.aspx?ID=15,,Common,—,Adventuring Gear,—,0,0.1,—,—
Disguise Kit (Replacement Cosmetics),https://2e.aonprd.com/Equipment.aspx?ID=19,,Common,—,Adventuring Gear,—,0,0.1,L,—
Dogslicer,https://2e.aonprd.com/Weapons.aspx?ID=49,,Uncommon,"Agile, Backstabber, Finesse, Goblin",Weapons,Base Weapons,0,0.1,L,—
Explorer's Clothing,https://2e.aonprd.com/Armor.aspx?ID=2,,Common,Comfort,Armor,Base Armor,0,0.1,L,—
Grappling Hook,https://2e.aonprd.com/Equipment.aspx?ID=23,,Common,—,Adventuring Gear,—,0,0.1,L,—
Hammer,https://2e.aonprd.com/Equipment.aspx?ID=24,,Common,—,Adventuring Gear,—,0,0.1,L,—
Javelin,https://2e.aonprd.com/Weapons.aspx?ID=71,,Common,Thrown,Weapons,Base Weapons,0,0.1,L,—
